pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AL0000029,DAPHNE (UTILITIES BOARD OF THE CITY OF),9.600000381469728,2.8576531410217285,0,61224,FALSE,"(0,10]","(0,10]"
AL0000033,ELBERTA (TOWN OF),19.200000762939453,4.7236552238464355,0,41221,FALSE,"(0,10]","(10,20]"
AL0000033,ELBERTA (TOWN OF),25.200000762939453,8.043123245239258,0,42188,FALSE,"(0,10]","(20,30]"
AL0000033,ELBERTA (TOWN OF),25.799999237060547,8.279120445251465,0,41370,FALSE,"(0,10]","(20,30]"
AL0000033,ELBERTA (TOWN OF),24.200000762939453,6.877954483032227,0,42880,FALSE,"(0,10]","(20,30]"
AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),5.900000095367432,0.5359416007995605,0,56157,FALSE,"(0,10]","(0,10]"
AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),7.900000095367432,0.4677206873893738,0,57301,FALSE,"(0,10]","(0,10]"
AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),7.800000190734863,1.1987948417663574,0,58554,FALSE,"(0,10]","(0,10]"
AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),8.300000190734863,1.677018642425537,0,57917,FALSE,"(0,10]","(0,10]"
AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),19.200000762939453,4.7236552238464355,0,41221,FALSE,"(0,10]","(10,20]"
AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),25.200000762939453,8.043123245239258,0,42188,FALSE,"(0,10]","(20,30]"
AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),25.799999237060547,8.279120445251465,0,41370,FALSE,"(0,10]","(20,30]"
AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),24.200000762939453,6.877954483032227,0,42880,FALSE,"(0,10]","(20,30]"
AL0000038,GULF SHORES (UTILITIES BOARD CITY OF),14.600000381469728,3.619258403778076,0,45801,FALSE,"(0,10]","(10,20]"
AL0000038,GULF SHORES (UTILITIES BOARD CITY OF),15.300000190734863,3.8162243366241455,0,47262,FALSE,"(0,10]","(10,20]"
AL0000038,GULF SHORES (UTILITIES BOARD CITY OF),15.600000381469728,4.280839443206787,0,47635,FALSE,"(0,10]","(10,20]"
